OBJECTID,Id,type,tident,ident,Latitude,Longitude,No_Ruas,TOTAL__KM_,BAIK,SEDANG,RUSAK_RING,RUSAK_BERA
"0","0",TRACK,Socah - Sembilangan (R.26),T32671,-7.09174354000,112.70716628000,(R.26),6.75000000000,5.15000000000,0.90000000000,0.70000000000,0.00000000000
"0","0",TRACK,Sorpa - Landak (R.61),T32814,-7.04098675000,112.89350588000,(R.61),4.00000000000,1.60000000000,1.80000000000,0.00000000000,0.60000000000
"0","0",TRACK,Sukolilo - Tragah (R.81),T32949,-7.09940158000,112.82592712000,(R.81),8.10000000000,0.00000000000,4.20000000000,1.80000000000,2.10000000000
"0","0",TRACK,Tanah Merah - Janteh (R.35),T33290,-7.09075229000,112.88996654000,(R.35),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Tanah Merah - Kombangan (R.24),T33494,-7.09128127000,112.89144318000,(R.24),13.30000000000,3.15000000000,6.95000000000,2.65000000000,0.55000000000
"0","0",TRACK,Tanah Merah Dajah - Morommbuh (R.91),T34188,-7.14753156000,112.85295306000,(R.91),7.80000000000,3.40000000000,4.10000000000,0.00000000000,0.30000000000
"0","0",TRACK,Tanah Merah Dajah - Tanah Merah Laok (R.113),T34510,-7.09690830000,112.88872182000,(R.113),1.10000000000,0.65000000000,0.00000000000,0.35000000000,0.10000000000
"0","0",TRACK,Tanah Merah Laok - Baipajung (R.92),T34560,-7.11246729000,112.88332572000,(R.92),2.00000000000,0.00000000000,1.60000000000,0.00000000000,0.40000000000
"0","0",TRACK,Tanjung Bumi - Bungkeng (R.66),T34625,-6.89081255000,113.07787070000,(R.66),3.70000000000,3.55000000000,0.15000000000,0.00000000000,0.00000000000
"0","0",TRACK,Tanjung Bumi - Mandung (R.02),T34765,-6.95309001000,113.08263070000,(R.02),7.20000000000,0.80000000000,4.20000000000,1.00000000000,1.20000000000
"0","0",TRACK,Telang - Buluh (R.101),T35132,-7.11442539000,112.71261544000,(R.101),3.00000000000,2.50000000000,0.50000000000,0.00000000000,0.00000000000
"0","0",TRACK,Telang - Labang (R.83),T35274,-7.12528607000,112.71313017000,(R.83),7.00000000000,5.85000000000,1.15000000000,0.00000000000,0.00000000000
"0","0",TRACK,Tengket - Arosbaya (R.20),T35434,-6.94623898000,112.83008019000,(R.20),2.00000000000,0.00000000000,0.70000000000,0.30000000000,1.00000000000
"0","0",TRACK,Tragah - Labang (R.47),T35510,-7.08988326000,112.82227353000,(R.47),0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
"0","0",TRACK,Tramok - Katol Timur (R.46),T35734,-6.99098510000,113.00156604000,(R.46),5.50000000000,0.00000000000,0.00000000000,3.60000000000,1.90000000000
